Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C2, C8, C9",0402,6,100n,
"C11, C13",0402,2,1u,
C14,0402,1,10n,
"C16, C17, C7",0402,3,10u,
"C3, C4",0402,2,6p,
"C5, C6",0402,2,15p,
"D1, D2",0402,2,RED,
D3,0603,1,RED,
FB1,0402,1,120R,
"J1, J2, J3",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,3,BM04B-SRSS-TB-P1.00mm,
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_USB2.0_16P,
"R1, R2, R3, R4",0402,4,5.1k,
"R5, R6",0402,2,1k,
R7,0603,1,470R,
"SW1, SW2",SW_Push_1P1T_NO_CK_KMR2,2,SW_Push,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,
U2,SOT-23-5,1,ME6211C33M5G-N,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,NX3225SA-16.000M-STD-CSR-1,
Y2,Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm,1,ABS07-32.768KHZ,
